date,strategy,obj_total,dr_term,smooth_term,l2_term,band_penalty,dr,db
2020-05-29,CTB_ONLY,1.3233479076781028e-05,0.005537705332722323,0.00011980469090137648,1.2314012230141182e-06,0.0,0.005537705332722323,1.200207785376691e-05
2020-05-29,RB_CTB_BAND,6.269998682082292e-06,3.4641897557992552e-06,1.596300258743876e-06,1.2095086675391602e-06,0.0,3.4641897557992552e-06,0.010923313369533234
2020-06-30,ERC,1.2038683976328957e-06,4.1953772468457963e-13,1.196393642376046e-05,1.203867978095171e-06,0.0,4.1953772468457963e-13,0.010014522593845216
2020-06-30,CTB_ONLY,6.83910356188326e-06,0.005206336860460482,4.5360573279468845e-05,1.2242946411673862e-06,0.0,0.005206336860460482,5.6148089207158735e-06
2020-06-30,RB_CTB_BAND,1.0544530332242367e-05,3.9272782078195805e-06,5.411207357647433e-06,1.2060447667753536e-06,0.0,3.9272782078195805e-06,0.009501965087330136
2020-07-31,ERC,1.2001741516752704e-06,4.2174839466916106e-13,2.2633034226683e-05,1.2001737299268758e-06,0.0,4.2174839466916106e-13,0.010864902642920596
2020-07-31,CTB_ONLY,2.0174557287368423e-05,0.005077768239192575,0.00036880442332694357,1.2138909371366395e-06,0.0,0.005077768239192575,1.8960666350231783e-05
2020-07-31,RB_CTB_BAND,1.1846028728050244e-05,5.117317471217406e-06,5.5256107445092295e-06,1.2031005123236078e-06,0.0,5.117317471217406e-06,0.01074740196253061
2020-08-31,ERC,1.1910686916345445e-06,3.9210319496630587e-13,6.535187428217021e-05,1.1910682995313495e-06,0.0,3.9210319496630587e-13,0.010059790221995529
2020-08-31,CTB_ONLY,1.2050593005366602e-06,0.005640970260021952,0.0005225485690969784,1.2050215465116296e-06,0.0,0.005640970260021952,3.7754025030657293e-11
2020-08-31,RB_CTB_BAND,3.7078928641198735e-05,1.809374357160633e-05,1.7788672155876405e-05,1.1965129137160055e-06,0.0,1.809374357160633e-05,0.00935275011118936
2020-09-30,ERC,1.1896746728503097e-06,3.97533906082919e-13,7.015621392404671e-06,1.1896742753164036e-06,0.0,3.97533906082919e-13,0.009362634224100068
2020-09-30,CTB_ONLY,1.2048323441077884e-06,0.005491059202566385,0.0007177425819054929,1.204785586734102e-06,0.0,0.005491059202566385,4.675737368647233e-11
2020-09-30,RB_CTB_BAND,1.6679702516127893e-05,9.234304036023286e-06,6.252503178897811e-06,1.1928953012067968e-06,0.0,9.234304036023286e-06,0.00893283495960279
2020-10-30,ERC,1.1941579467288221e-06,3.985739277665809e-13,1.2775142949435152e-05,1.1941575481548945e-06,0.0,3.985739277665809e-13,0.009800214851013183
2020-10-30,CTB_ONLY,1.2264311593823408e-06,0.005096930243119588,0.001728861232700153,1.2263944574870024e-06,0.0,0.005096930243119588,3.670189533845657e-11
2020-10-30,RB_CTB_BAND,7.3342228301300145e-06,3.6285558267418183e-06,2.5121157721576837e-06,1.1935512312305131e-06,0.0,3.6285558267418183e-06,0.009833423798363154
2020-11-30,ERC,1.1979557858003538e-06,4.242233732008145e-13,1.8130375768979495e-05,1.1979553615769806e-06,0.0,4.242233732008145e-13,0.010087173634491579
2020-11-30,CTB_ONLY,1.2561236233812014e-06,0.0052648280220605635,0.0012350548107763512,1.2560886184098785e-06,0.0,0.0052648280220605635,3.5004971322974366e-11
